filename,stance,hand_used,label
uppercut/uppercut_orthodox_right_cam3_001.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_001.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_002.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_002.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_003.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_003.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_004.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_004.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_005.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_005.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_006.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_006.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_007.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_007.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_008.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_008.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_009.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_009.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_010.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_010.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_011.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_011.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_012.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_012.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_013.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_013.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_014.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_014.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_015.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_015.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_016.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_016.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_017.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_017.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_018.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_018.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_019.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_019.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_020.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_020.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_021.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_021.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_022.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_022.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_023.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_023.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_024.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_024.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_025.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_025.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_026.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_026.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_027.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_027.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_028.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_028.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_029.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_029.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_030.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_030.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_031.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_031.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_032.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_032.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_033.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_033.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_034.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_034.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_035.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_035.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_036.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_036.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_037.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_037.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_038.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_038.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_039.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_039.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_040.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_040.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_041.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_041.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_042.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_042.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_043.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_043.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_044.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_044.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_045.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam4_045.mp4,orthodox,right,uppercut
uppercut/uppercut_orthodox_right_cam3_046.mp4,orthodox,right,uppercut
