filename,stance,hand_used,label
cross/cross_orthodox_left_cam 1_001.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_001.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_001.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_001.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_002.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_002.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_002.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_002.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_003.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_003.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_003.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_003.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_004.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_004.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_004.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_004.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_005.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_005.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_005.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_005.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_006.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_006.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_006.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_006.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_007.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_007.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_007.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_007.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_008.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_008.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_008.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_008.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_009.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_009.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_009.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam4_009.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 1_010.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam 2_010.mp4,orthodox,left,cross
cross/cross_orthodox_left_cam3_010.mp4,orthodox,left,cross
